Estacion;Fecha;Hora;Carril 1 ligeros ;Carril 1 pesados;Carril 2 ligeros ;Carril 2 pesados;Carril 3 ligeros ;Carril 3 pesados;Carril 4 ligeros ;Carril 4 pesados;Carril 5 ligeros ;Carril 5 pesados;Carril 6 ligeros ;Carril 6 pesados
00001 ; 03/06/2024 ; 01:00 ; 00032 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000 ; 00009 ; 00000 ; 00010 ; 00001 ; 00000 ; 00000
00001 ; 03/06/2024 ; 02:00 ; 00015 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00010 ; 00001 ; 00007 ; 00002 ; 00000 ; 00000
00001 ; 03/06/2024 ; 03:00 ; 00015 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00007 ; 00000 ; 00004 ; 00000 ; 00000 ; 00000
00001 ; 03/06/2024 ; 04:00 ; 00007 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00005 ; 00002 ; 00001 ; 00000 ; 00000 ; 00000
00001 ; 03/06/2024 ; 05:00 ; 00041 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00016 ; 00002 ; 00009 ; 00001 ; 00000 ; 00000
00001 ; 03/06/2024 ; 06:00 ; 00128 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00065 ; 00003 ; 00040 ; 00001 ; 00000 ; 00000
00001 ; 03/06/2024 ; 07:00 ; 00208 ; 00011 ; 00000 ; 00000 ; 00000 ; 00000 ; 00154 ; 00008 ; 00125 ; 00002 ; 00000 ; 00000
00001 ; 03/06/2024 ; 08:00 ; 00621 ; 00034 ; 00000 ; 00000 ; 00000 ; 00000 ; 00577 ; 00030 ; 00420 ; 00008 ; 00000 ; 00000
00001 ; 03/06/2024 ; 09:00 ; 00715 ; 00060 ; 00000 ; 00000 ; 00000 ; 00000 ; 00610 ; 00046 ; 00457 ; 00029 ; 00000 ; 00000
00001 ; 03/06/2024 ; 10:00 ; 00642 ; 00074 ; 00000 ; 00000 ; 00000 ; 00000 ; 00420 ; 00063 ; 00297 ; 00026 ; 00000 ; 00000
00001 ; 03/06/2024 ; 11:00 ; 00613 ; 00080 ; 00000 ; 00000 ; 00000 ; 00000 ; 00456 ; 00048 ; 00207 ; 00030 ; 00000 ; 00000
00001 ; 03/06/2024 ; 12:00 ; 00699 ; 00069 ; 00000 ; 00000 ; 00000 ; 00000 ; 00497 ; 00035 ; 00197 ; 00033 ; 00000 ; 00000
00001 ; 03/06/2024 ; 13:00 ; 00763 ; 00064 ; 00000 ; 00000 ; 00000 ; 00000 ; 00501 ; 00031 ; 00219 ; 00029 ; 00000 ; 00000
00001 ; 03/06/2024 ; 14:00 ; 00757 ; 00046 ; 00000 ; 00000 ; 00000 ; 00000 ; 00536 ; 00034 ; 00247 ; 00016 ; 00000 ; 00000
00001 ; 03/06/2024 ; 15:00 ; 00875 ; 00042 ; 00000 ; 00000 ; 00000 ; 00000 ; 00509 ; 00032 ; 00284 ; 00028 ; 00000 ; 00000
00001 ; 03/06/2024 ; 16:00 ; 00856 ; 00064 ; 00000 ; 00000 ; 00000 ; 00000 ; 00455 ; 00043 ; 00214 ; 00027 ; 00000 ; 00000
00001 ; 03/06/2024 ; 17:00 ; 00947 ; 00060 ; 00000 ; 00000 ; 00000 ; 00000 ; 00509 ; 00036 ; 00232 ; 00023 ; 00000 ; 00000
00001 ; 03/06/2024 ; 18:00 ; 01104 ; 00047 ; 00000 ; 00000 ; 00000 ; 00000 ; 00690 ; 00030 ; 00295 ; 00020 ; 00000 ; 00000
00001 ; 03/06/2024 ; 19:00 ; 00951 ; 00038 ; 00000 ; 00000 ; 00000 ; 00000 ; 00700 ; 00024 ; 00240 ; 00015 ; 00000 ; 00000
00001 ; 03/06/2024 ; 20:00 ; 00706 ; 00021 ; 00000 ; 00000 ; 00000 ; 00000 ; 00499 ; 00018 ; 00150 ; 00012 ; 00000 ; 00000
00001 ; 03/06/2024 ; 21:00 ; 00475 ; 00017 ; 00000 ; 00000 ; 00000 ; 00000 ; 00320 ; 00016 ; 00118 ; 00007 ; 00000 ; 00000
00001 ; 03/06/2024 ; 22:00 ; 00286 ; 00015 ; 00000 ; 00000 ; 00000 ; 00000 ; 00195 ; 00011 ; 00106 ; 00006 ; 00000 ; 00000
