Estacion;Fecha;Hora;Carril 1 ligeros ;Carril 1 pesados;Carril 2 ligeros ;Carril 2 pesados;Carril 3 ligeros ;Carril 3 pesados;Carril 4 ligeros ;Carril 4 pesados;Carril 5 ligeros ;Carril 5 pesados;Carril 6 ligeros ;Carril 6 pesados
00001 ; 19/04/2021 ; 01:00 ; 00003 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00004 ; 00000 ; 00002 ; 00000 ; 00000 ; 00000
00001 ; 19/04/2021 ; 02:00 ; 00003 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00002 ; 00000 ; 00000 ; 00001 ; 00000 ; 00000
00001 ; 19/04/2021 ; 03:00 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000 ; 00002 ; 00001 ; 00002 ; 00000 ; 00000 ; 00000
00001 ; 19/04/2021 ; 04:00 ; 00011 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00008 ; 00000 ; 00005 ; 00000 ; 00000 ; 00000
00001 ; 19/04/2021 ; 05:00 ; 00024 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00006 ; 00001 ; 00011 ; 00002 ; 00000 ; 00000
00001 ; 19/04/2021 ; 06:00 ; 00126 ; 00008 ; 00000 ; 00000 ; 00000 ; 00000 ; 00048 ; 00007 ; 00036 ; 00002 ; 00000 ; 00000
00001 ; 19/04/2021 ; 07:00 ; 00239 ; 00020 ; 00000 ; 00000 ; 00000 ; 00000 ; 00124 ; 00012 ; 00127 ; 00005 ; 00000 ; 00000
00001 ; 19/04/2021 ; 08:00 ; 00615 ; 00039 ; 00000 ; 00000 ; 00000 ; 00000 ; 00328 ; 00030 ; 00491 ; 00020 ; 00000 ; 00000
00001 ; 19/04/2021 ; 09:00 ; 00668 ; 00069 ; 00000 ; 00000 ; 00000 ; 00000 ; 00356 ; 00031 ; 00423 ; 00043 ; 00000 ; 00000
00001 ; 19/04/2021 ; 10:00 ; 00650 ; 00080 ; 00000 ; 00000 ; 00000 ; 00000 ; 00294 ; 00039 ; 00292 ; 00031 ; 00000 ; 00000
00001 ; 19/04/2021 ; 11:00 ; 00602 ; 00050 ; 00000 ; 00000 ; 00000 ; 00000 ; 00350 ; 00040 ; 00208 ; 00031 ; 00000 ; 00000
00001 ; 19/04/2021 ; 12:00 ; 00591 ; 00073 ; 00000 ; 00000 ; 00000 ; 00000 ; 00371 ; 00034 ; 00201 ; 00027 ; 00000 ; 00000
00001 ; 19/04/2021 ; 13:00 ; 00619 ; 00073 ; 00000 ; 00000 ; 00000 ; 00000 ; 00380 ; 00034 ; 00212 ; 00025 ; 00000 ; 00000
00001 ; 19/04/2021 ; 14:00 ; 00702 ; 00067 ; 00000 ; 00000 ; 00000 ; 00000 ; 00410 ; 00023 ; 00219 ; 00026 ; 00000 ; 00000
00001 ; 19/04/2021 ; 15:00 ; 00788 ; 00053 ; 00000 ; 00000 ; 00000 ; 00000 ; 00463 ; 00024 ; 00284 ; 00032 ; 00000 ; 00000
00001 ; 19/04/2021 ; 16:00 ; 00813 ; 00062 ; 00000 ; 00000 ; 00000 ; 00000 ; 00397 ; 00038 ; 00247 ; 00032 ; 00000 ; 00000
00001 ; 19/04/2021 ; 17:00 ; 00774 ; 00070 ; 00000 ; 00000 ; 00000 ; 00000 ; 00437 ; 00028 ; 00218 ; 00027 ; 00000 ; 00000
00001 ; 19/04/2021 ; 18:00 ; 00929 ; 00069 ; 00000 ; 00000 ; 00000 ; 00000 ; 00482 ; 00024 ; 00275 ; 00032 ; 00000 ; 00000
00001 ; 19/04/2021 ; 19:00 ; 00860 ; 00045 ; 00000 ; 00000 ; 00000 ; 00000 ; 00492 ; 00023 ; 00239 ; 00012 ; 00000 ; 00000
