Estacion;Fecha;Hora;Carril 1 ligeros ;Carril 1 pesados;Carril 2 ligeros ;Carril 2 pesados;Carril 3 ligeros ;Carril 3 pesados;Carril 4 ligeros ;Carril 4 pesados;Carril 5 ligeros ;Carril 5 pesados;Carril 6 ligeros ;Carril 6 pesados
00001 ; 08/07/2024 ; 01:00 ; 00042 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00017 ; 00001 ; 00015 ; 00000 ; 00000 ; 00000
00001 ; 08/07/2024 ; 02:00 ; 00017 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00009 ; 00001 ; 00005 ; 00000 ; 00000 ; 00000
00001 ; 08/07/2024 ; 03:00 ; 00021 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00005 ; 00000 ; 00007 ; 00001 ; 00000 ; 00000
00001 ; 08/07/2024 ; 04:00 ; 00013 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00009 ; 00000 ; 00005 ; 00000 ; 00000 ; 00000
00001 ; 08/07/2024 ; 05:00 ; 00043 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000 ; 00016 ; 00000 ; 00014 ; 00002 ; 00000 ; 00000
00001 ; 08/07/2024 ; 06:00 ; 00144 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00067 ; 00005 ; 00046 ; 00002 ; 00000 ; 00000
00001 ; 08/07/2024 ; 07:00 ; 00221 ; 00014 ; 00000 ; 00000 ; 00000 ; 00000 ; 00142 ; 00007 ; 00108 ; 00004 ; 00000 ; 00000
00001 ; 08/07/2024 ; 08:00 ; 00515 ; 00039 ; 00000 ; 00000 ; 00000 ; 00000 ; 00512 ; 00022 ; 00405 ; 00014 ; 00000 ; 00000
00001 ; 08/07/2024 ; 09:00 ; 00564 ; 00044 ; 00000 ; 00000 ; 00000 ; 00000 ; 00469 ; 00041 ; 00359 ; 00011 ; 00000 ; 00000
00001 ; 08/07/2024 ; 10:00 ; 00597 ; 00042 ; 00000 ; 00000 ; 00000 ; 00000 ; 00398 ; 00039 ; 00238 ; 00009 ; 00000 ; 00000
00001 ; 08/07/2024 ; 11:00 ; 00625 ; 00051 ; 00000 ; 00000 ; 00000 ; 00000 ; 00411 ; 00040 ; 00207 ; 00010 ; 00000 ; 00000
00001 ; 08/07/2024 ; 12:00 ; 00652 ; 00052 ; 00000 ; 00000 ; 00000 ; 00000 ; 00412 ; 00033 ; 00202 ; 00007 ; 00000 ; 00000
00001 ; 08/07/2024 ; 13:00 ; 00654 ; 00046 ; 00000 ; 00000 ; 00000 ; 00000 ; 00458 ; 00030 ; 00244 ; 00011 ; 00000 ; 00000
00001 ; 08/07/2024 ; 14:00 ; 00749 ; 00038 ; 00000 ; 00000 ; 00000 ; 00000 ; 00495 ; 00021 ; 00234 ; 00011 ; 00000 ; 00000
00001 ; 08/07/2024 ; 15:00 ; 00818 ; 00035 ; 00000 ; 00000 ; 00000 ; 00000 ; 00508 ; 00035 ; 00239 ; 00010 ; 00000 ; 00000
