Estacion;Fecha;Hora;Carril 1 ligeros ;Carril 1 pesados;Carril 2 ligeros ;Carril 2 pesados;Carril 3 ligeros ;Carril 3 pesados;Carril 4 ligeros ;Carril 4 pesados;Carril 5 ligeros ;Carril 5 pesados;Carril 6 ligeros ;Carril 6 pesados
00001 ; 02/09/2024 ; 01:00 ; 00046 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00018 ; 00000 ; 00009 ; 00000 ; 00000 ; 00000
00001 ; 02/09/2024 ; 02:00 ; 00016 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00009 ; 00000 ; 00013 ; 00000 ; 00000 ; 00000
00001 ; 02/09/2024 ; 03:00 ; 00017 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000 ; 00004 ; 00000 ; 00008 ; 00000 ; 00000 ; 00000
00001 ; 02/09/2024 ; 04:00 ; 00014 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00007 ; 00002 ; 00004 ; 00000 ; 00000 ; 00000
00001 ; 02/09/2024 ; 05:00 ; 00041 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00020 ; 00002 ; 00010 ; 00001 ; 00000 ; 00000
00001 ; 02/09/2024 ; 06:00 ; 00118 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00067 ; 00004 ; 00040 ; 00001 ; 00000 ; 00000
00001 ; 02/09/2024 ; 07:00 ; 00218 ; 00013 ; 00000 ; 00000 ; 00000 ; 00000 ; 00159 ; 00006 ; 00115 ; 00004 ; 00000 ; 00000
00001 ; 02/09/2024 ; 08:00 ; 00562 ; 00041 ; 00000 ; 00000 ; 00000 ; 00000 ; 00488 ; 00025 ; 00392 ; 00008 ; 00000 ; 00000
00001 ; 02/09/2024 ; 09:00 ; 00611 ; 00045 ; 00000 ; 00000 ; 00000 ; 00000 ; 00541 ; 00035 ; 00324 ; 00020 ; 00000 ; 00000
00001 ; 02/09/2024 ; 10:00 ; 00512 ; 00060 ; 00000 ; 00000 ; 00000 ; 00000 ; 00382 ; 00036 ; 00218 ; 00010 ; 00000 ; 00000
00001 ; 02/09/2024 ; 11:00 ; 00619 ; 00052 ; 00000 ; 00000 ; 00000 ; 00000 ; 00398 ; 00031 ; 00171 ; 00011 ; 00000 ; 00000
00001 ; 02/09/2024 ; 12:00 ; 00647 ; 00051 ; 00000 ; 00000 ; 00000 ; 00000 ; 00414 ; 00030 ; 00187 ; 00007 ; 00000 ; 00000
00001 ; 02/09/2024 ; 13:00 ; 00677 ; 00043 ; 00000 ; 00000 ; 00000 ; 00000 ; 00453 ; 00021 ; 00212 ; 00009 ; 00000 ; 00000
00001 ; 02/09/2024 ; 14:00 ; 00752 ; 00050 ; 00000 ; 00000 ; 00000 ; 00000 ; 00485 ; 00027 ; 00228 ; 00009 ; 00000 ; 00000
00001 ; 02/09/2024 ; 15:00 ; 00823 ; 00039 ; 00000 ; 00000 ; 00000 ; 00000 ; 00512 ; 00027 ; 00222 ; 00011 ; 00000 ; 00000
00001 ; 02/09/2024 ; 16:00 ; 00870 ; 00051 ; 00000 ; 00000 ; 00000 ; 00000 ; 00446 ; 00027 ; 00194 ; 00005 ; 00000 ; 00000
00001 ; 02/09/2024 ; 17:00 ; 00812 ; 00034 ; 00000 ; 00000 ; 00000 ; 00000 ; 00473 ; 00027 ; 00197 ; 00008 ; 00000 ; 00000
00001 ; 02/09/2024 ; 18:00 ; 00959 ; 00039 ; 00000 ; 00000 ; 00000 ; 00000 ; 00572 ; 00037 ; 00234 ; 00009 ; 00000 ; 00000
00001 ; 02/09/2024 ; 19:00 ; 00808 ; 00029 ; 00000 ; 00000 ; 00000 ; 00000 ; 00642 ; 00025 ; 00212 ; 00011 ; 00000 ; 00000
00001 ; 02/09/2024 ; 20:00 ; 00661 ; 00023 ; 00000 ; 00000 ; 00000 ; 00000 ; 00439 ; 00013 ; 00163 ; 00008 ; 00000 ; 00000
00001 ; 02/09/2024 ; 21:00 ; 00471 ; 00012 ; 00000 ; 00000 ; 00000 ; 00000 ; 00321 ; 00011 ; 00124 ; 00005 ; 00000 ; 00000
00001 ; 02/09/2024 ; 22:00 ; 00296 ; 00010 ; 00000 ; 00000 ; 00000 ; 00000 ; 00163 ; 00009 ; 00079 ; 00005 ; 00000 ; 00000
00001 ; 02/09/2024 ; 23:00 ; 00182 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00122 ; 00006 ; 00040 ; 00002 ; 00000 ; 00000
00001 ; 02/09/2024 ; 24:00 ; 00056 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00043 ; 00003 ; 00010 ; 00001 ; 00000 ; 00000
00001 ; 03/09/2024 ; 01:00 ; 00041 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00019 ; 00001 ; 00004 ; 00001 ; 00000 ; 00000
00001 ; 03/09/2024 ; 02:00 ; 00009 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00005 ; 00000 ; 00003 ; 00000 ; 00000 ; 00000
00001 ; 03/09/2024 ; 03:00 ; 00012 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00003 ; 00000 ; 00005 ; 00000 ; 00000 ; 00000
00001 ; 03/09/2024 ; 04:00 ; 00010 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00006 ; 00002 ; 00002 ; 00000 ; 00000 ; 00000
00001 ; 03/09/2024 ; 05:00 ; 00028 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00012 ; 00001 ; 00009 ; 00002 ; 00000 ; 00000
00001 ; 03/09/2024 ; 06:00 ; 00129 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00060 ; 00005 ; 00041 ; 00001 ; 00000 ; 00000
00001 ; 03/09/2024 ; 07:00 ; 00206 ; 00010 ; 00000 ; 00000 ; 00000 ; 00000 ; 00162 ; 00005 ; 00096 ; 00004 ; 00000 ; 00000
00001 ; 03/09/2024 ; 08:00 ; 00555 ; 00034 ; 00000 ; 00000 ; 00000 ; 00000 ; 00460 ; 00028 ; 00428 ; 00008 ; 00000 ; 00000
00001 ; 03/09/2024 ; 09:00 ; 00621 ; 00041 ; 00000 ; 00000 ; 00000 ; 00000 ; 00528 ; 00032 ; 00339 ; 00010 ; 00000 ; 00000
00001 ; 03/09/2024 ; 10:00 ; 00490 ; 00055 ; 00000 ; 00000 ; 00000 ; 00000 ; 00386 ; 00023 ; 00217 ; 00012 ; 00000 ; 00000
00001 ; 03/09/2024 ; 11:00 ; 00585 ; 00051 ; 00000 ; 00000 ; 00000 ; 00000 ; 00371 ; 00035 ; 00191 ; 00011 ; 00000 ; 00000
00001 ; 03/09/2024 ; 12:00 ; 00638 ; 00049 ; 00000 ; 00000 ; 00000 ; 00000 ; 00387 ; 00023 ; 00171 ; 00007 ; 00000 ; 00000
