Estacion;Fecha;Hora;Carril 1 ligeros ;Carril 1 pesados;Carril 2 ligeros ;Carril 2 pesados;Carril 3 ligeros ;Carril 3 pesados;Carril 4 ligeros ;Carril 4 pesados;Carril 5 ligeros ;Carril 5 pesados;Carril 6 ligeros ;Carril 6 pesados
00001 ; 11/10/2021 ; 01:00 ; 00037 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00018 ; 00000 ; 00015 ; 00001 ; 00000 ; 00000
00001 ; 11/10/2021 ; 02:00 ; 00021 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000 ; 00006 ; 00000 ; 00005 ; 00000 ; 00000 ; 00000
00001 ; 11/10/2021 ; 03:00 ; 00011 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00003 ; 00001 ; 00005 ; 00000 ; 00000 ; 00000
00001 ; 11/10/2021 ; 04:00 ; 00015 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00002 ; 00000 ; 00004 ; 00000 ; 00000 ; 00000
00001 ; 11/10/2021 ; 05:00 ; 00018 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000 ; 00005 ; 00001 ; 00012 ; 00001 ; 00000 ; 00000
00001 ; 11/10/2021 ; 06:00 ; 00071 ; 00007 ; 00000 ; 00000 ; 00000 ; 00000 ; 00030 ; 00006 ; 00020 ; 00001 ; 00000 ; 00000
00001 ; 11/10/2021 ; 07:00 ; 00095 ; 00016 ; 00000 ; 00000 ; 00000 ; 00000 ; 00054 ; 00011 ; 00078 ; 00003 ; 00000 ; 00000
00001 ; 11/10/2021 ; 08:00 ; 00272 ; 00027 ; 00000 ; 00000 ; 00000 ; 00000 ; 00163 ; 00021 ; 00227 ; 00013 ; 00000 ; 00000
00001 ; 11/10/2021 ; 09:00 ; 00370 ; 00032 ; 00000 ; 00000 ; 00000 ; 00000 ; 00191 ; 00018 ; 00238 ; 00011 ; 00000 ; 00000
00001 ; 11/10/2021 ; 10:00 ; 00516 ; 00039 ; 00000 ; 00000 ; 00000 ; 00000 ; 00239 ; 00033 ; 00179 ; 00011 ; 00000 ; 00000
