Estacion;Fecha;Hora;Carril 1 ligeros ;Carril 1 pesados;Carril 2 ligeros ;Carril 2 pesados;Carril 3 ligeros ;Carril 3 pesados;Carril 4 ligeros ;Carril 4 pesados;Carril 5 ligeros ;Carril 5 pesados;Carril 6 ligeros ;Carril 6 pesados
00001 ; 09/12/2024 ; 01:00 ; 00015 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00011 ; 00000 ; 00006 ; 00000 ; 00000 ; 00000
00001 ; 09/12/2024 ; 02:00 ; 00013 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00005 ; 00000 ; 00007 ; 00001 ; 00000 ; 00000
00001 ; 09/12/2024 ; 03:00 ; 00014 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00003 ; 00000 ; 00002 ; 00001 ; 00000 ; 00000
00001 ; 09/12/2024 ; 04:00 ; 00008 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00004 ; 00000 ; 00003 ; 00000 ; 00000 ; 00000
00001 ; 09/12/2024 ; 05:00 ; 00036 ; 00006 ; 00000 ; 00000 ; 00000 ; 00000 ; 00015 ; 00000 ; 00010 ; 00000 ; 00000 ; 00000
00001 ; 09/12/2024 ; 06:00 ; 00124 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00081 ; 00007 ; 00045 ; 00002 ; 00000 ; 00000
00001 ; 09/12/2024 ; 07:00 ; 00194 ; 00024 ; 00000 ; 00000 ; 00000 ; 00000 ; 00139 ; 00010 ; 00121 ; 00003 ; 00000 ; 00000
00001 ; 09/12/2024 ; 08:00 ; 00622 ; 00043 ; 00000 ; 00000 ; 00000 ; 00000 ; 00490 ; 00034 ; 00395 ; 00012 ; 00000 ; 00000
00001 ; 09/12/2024 ; 09:00 ; 00713 ; 00043 ; 00000 ; 00000 ; 00000 ; 00000 ; 00591 ; 00034 ; 00417 ; 00014 ; 00000 ; 00000
00001 ; 09/12/2024 ; 10:00 ; 00692 ; 00053 ; 00000 ; 00000 ; 00000 ; 00000 ; 00444 ; 00039 ; 00269 ; 00013 ; 00000 ; 00000
00001 ; 09/12/2024 ; 11:00 ; 00661 ; 00051 ; 00000 ; 00000 ; 00000 ; 00000 ; 00415 ; 00040 ; 00198 ; 00010 ; 00000 ; 00000
00001 ; 09/12/2024 ; 12:00 ; 00665 ; 00057 ; 00000 ; 00000 ; 00000 ; 00000 ; 00478 ; 00038 ; 00211 ; 00007 ; 00000 ; 00000
00001 ; 09/12/2024 ; 13:00 ; 00741 ; 00048 ; 00000 ; 00000 ; 00000 ; 00000 ; 00518 ; 00031 ; 00202 ; 00011 ; 00000 ; 00000
00001 ; 09/12/2024 ; 14:00 ; 00732 ; 00041 ; 00000 ; 00000 ; 00000 ; 00000 ; 00536 ; 00030 ; 00236 ; 00009 ; 00000 ; 00000
00001 ; 09/12/2024 ; 15:00 ; 00800 ; 00047 ; 00000 ; 00000 ; 00000 ; 00000 ; 00537 ; 00023 ; 00225 ; 00012 ; 00000 ; 00000
00001 ; 09/12/2024 ; 16:00 ; 00861 ; 00054 ; 00000 ; 00000 ; 00000 ; 00000 ; 00472 ; 00029 ; 00197 ; 00009 ; 00000 ; 00000
00001 ; 09/12/2024 ; 17:00 ; 00925 ; 00034 ; 00000 ; 00000 ; 00000 ; 00000 ; 00566 ; 00029 ; 00226 ; 00011 ; 00000 ; 00000
00001 ; 09/12/2024 ; 18:00 ; 01081 ; 00042 ; 00000 ; 00000 ; 00000 ; 00000 ; 00661 ; 00025 ; 00237 ; 00009 ; 00000 ; 00000
00001 ; 09/12/2024 ; 19:00 ; 00940 ; 00026 ; 00000 ; 00000 ; 00000 ; 00000 ; 00681 ; 00014 ; 00253 ; 00008 ; 00000 ; 00000
00001 ; 09/12/2024 ; 20:00 ; 00604 ; 00021 ; 00000 ; 00000 ; 00000 ; 00000 ; 00429 ; 00016 ; 00132 ; 00006 ; 00000 ; 00000
00001 ; 09/12/2024 ; 21:00 ; 00414 ; 00013 ; 00000 ; 00000 ; 00000 ; 00000 ; 00279 ; 00011 ; 00093 ; 00005 ; 00000 ; 00000
00001 ; 09/12/2024 ; 22:00 ; 00256 ; 00011 ; 00000 ; 00000 ; 00000 ; 00000 ; 00153 ; 00010 ; 00061 ; 00003 ; 00000 ; 00000
00001 ; 09/12/2024 ; 23:00 ; 00157 ; 00008 ; 00000 ; 00000 ; 00000 ; 00000 ; 00091 ; 00008 ; 00033 ; 00002 ; 00000 ; 00000
00001 ; 09/12/2024 ; 24:00 ; 00046 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00022 ; 00002 ; 00010 ; 00000 ; 00000 ; 00000
00001 ; 10/12/2024 ; 01:00 ; 00022 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00011 ; 00001 ; 00007 ; 00000 ; 00000 ; 00000
