Estacion;Fecha;Hora;Carril 1 ligeros ;Carril 1 pesados;Carril 2 ligeros ;Carril 2 pesados;Carril 3 ligeros ;Carril 3 pesados;Carril 4 ligeros ;Carril 4 pesados;Carril 5 ligeros ;Carril 5 pesados;Carril 6 ligeros ;Carril 6 pesados
00001 ; 17/08/2024 ; 01:00 ; 00136 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00053 ; 00008 ; 00013 ; 00002 ; 00000 ; 00000
00001 ; 17/08/2024 ; 02:00 ; 00075 ; 00007 ; 00000 ; 00000 ; 00000 ; 00000 ; 00027 ; 00004 ; 00005 ; 00002 ; 00000 ; 00000
00001 ; 17/08/2024 ; 03:00 ; 00035 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00012 ; 00005 ; 00010 ; 00003 ; 00000 ; 00000
00001 ; 17/08/2024 ; 04:00 ; 00022 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00011 ; 00004 ; 00009 ; 00002 ; 00000 ; 00000
00001 ; 17/08/2024 ; 05:00 ; 00028 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00010 ; 00003 ; 00007 ; 00003 ; 00000 ; 00000
00001 ; 17/08/2024 ; 06:00 ; 00040 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00020 ; 00003 ; 00015 ; 00001 ; 00000 ; 00000
00001 ; 17/08/2024 ; 07:00 ; 00063 ; 00007 ; 00000 ; 00000 ; 00000 ; 00000 ; 00022 ; 00003 ; 00029 ; 00002 ; 00000 ; 00000
00001 ; 17/08/2024 ; 08:00 ; 00097 ; 00010 ; 00000 ; 00000 ; 00000 ; 00000 ; 00067 ; 00007 ; 00053 ; 00005 ; 00000 ; 00000
00001 ; 17/08/2024 ; 09:00 ; 00161 ; 00018 ; 00000 ; 00000 ; 00000 ; 00000 ; 00086 ; 00010 ; 00044 ; 00003 ; 00000 ; 00000
00001 ; 17/08/2024 ; 10:00 ; 00272 ; 00011 ; 00000 ; 00000 ; 00000 ; 00000 ; 00141 ; 00013 ; 00063 ; 00007 ; 00000 ; 00000
