Estacion;Fecha;Hora;Carril 1 ligeros ;Carril 1 pesados;Carril 2 ligeros ;Carril 2 pesados;Carril 3 ligeros ;Carril 3 pesados;Carril 4 ligeros ;Carril 4 pesados;Carril 5 ligeros ;Carril 5 pesados;Carril 6 ligeros ;Carril 6 pesados
00001 ; 08/02/2021 ; 01:00 ; 00009 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00003 ; 00000 ; 00003 ; 00000 ; 00000 ; 00000
00001 ; 08/02/2021 ; 02:00 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000
00001 ; 08/02/2021 ; 03:00 ; 00006 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000 ; 00005 ; 00002 ; 00003 ; 00000 ; 00000 ; 00000
00001 ; 08/02/2021 ; 04:00 ; 00006 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00002 ; 00002 ; 00003 ; 00000 ; 00000 ; 00000
00001 ; 08/02/2021 ; 05:00 ; 00017 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00006 ; 00001 ; 00007 ; 00001 ; 00000 ; 00000
00001 ; 08/02/2021 ; 06:00 ; 00119 ; 00008 ; 00000 ; 00000 ; 00000 ; 00000 ; 00052 ; 00006 ; 00040 ; 00004 ; 00000 ; 00000
00001 ; 08/02/2021 ; 07:00 ; 00227 ; 00019 ; 00000 ; 00000 ; 00000 ; 00000 ; 00102 ; 00020 ; 00129 ; 00010 ; 00000 ; 00000
00001 ; 08/02/2021 ; 08:00 ; 00593 ; 00053 ; 00000 ; 00000 ; 00000 ; 00000 ; 00326 ; 00022 ; 00480 ; 00015 ; 00000 ; 00000
00001 ; 08/02/2021 ; 09:00 ; 00699 ; 00056 ; 00000 ; 00000 ; 00000 ; 00000 ; 00356 ; 00037 ; 00386 ; 00021 ; 00000 ; 00000
00001 ; 08/02/2021 ; 10:00 ; 00595 ; 00073 ; 00000 ; 00000 ; 00000 ; 00000 ; 00283 ; 00039 ; 00235 ; 00017 ; 00000 ; 00000
00001 ; 08/02/2021 ; 11:00 ; 00473 ; 00058 ; 00000 ; 00000 ; 00000 ; 00000 ; 00284 ; 00035 ; 00158 ; 00015 ; 00000 ; 00000
00001 ; 08/02/2021 ; 12:00 ; 00514 ; 00070 ; 00000 ; 00000 ; 00000 ; 00000 ; 00289 ; 00036 ; 00163 ; 00019 ; 00000 ; 00000
00001 ; 08/02/2021 ; 13:00 ; 00555 ; 00064 ; 00000 ; 00000 ; 00000 ; 00000 ; 00293 ; 00036 ; 00180 ; 00011 ; 00000 ; 00000
00001 ; 08/02/2021 ; 14:00 ; 00698 ; 00043 ; 00000 ; 00000 ; 00000 ; 00000 ; 00377 ; 00032 ; 00215 ; 00017 ; 00000 ; 00000
00001 ; 08/02/2021 ; 15:00 ; 00744 ; 00042 ; 00000 ; 00000 ; 00000 ; 00000 ; 00389 ; 00029 ; 00277 ; 00012 ; 00000 ; 00000
00001 ; 08/02/2021 ; 16:00 ; 00729 ; 00051 ; 00000 ; 00000 ; 00000 ; 00000 ; 00342 ; 00029 ; 00204 ; 00010 ; 00000 ; 00000
00001 ; 08/02/2021 ; 17:00 ; 00661 ; 00051 ; 00000 ; 00000 ; 00000 ; 00000 ; 00362 ; 00028 ; 00183 ; 00014 ; 00000 ; 00000
00001 ; 08/02/2021 ; 18:00 ; 00726 ; 00038 ; 00000 ; 00000 ; 00000 ; 00000 ; 00350 ; 00016 ; 00152 ; 00016 ; 00000 ; 00000
00001 ; 08/02/2021 ; 19:00 ; 00679 ; 00029 ; 00000 ; 00000 ; 00000 ; 00000 ; 00377 ; 00017 ; 00175 ; 00008 ; 00000 ; 00000
00001 ; 08/02/2021 ; 20:00 ; 00437 ; 00022 ; 00000 ; 00000 ; 00000 ; 00000 ; 00233 ; 00011 ; 00121 ; 00010 ; 00000 ; 00000
00001 ; 08/02/2021 ; 21:00 ; 00301 ; 00016 ; 00000 ; 00000 ; 00000 ; 00000 ; 00166 ; 00007 ; 00078 ; 00006 ; 00000 ; 00000
00001 ; 08/02/2021 ; 22:00 ; 00186 ; 00010 ; 00000 ; 00000 ; 00000 ; 00000 ; 00078 ; 00006 ; 00071 ; 00005 ; 00000 ; 00000
00001 ; 08/02/2021 ; 23:00 ; 00108 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00049 ; 00001 ; 00015 ; 00002 ; 00000 ; 00000
00001 ; 08/02/2021 ; 24:00 ; 00020 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00009 ; 00001 ; 00002 ; 00001 ; 00000 ; 00000
00001 ; 09/02/2021 ; 01:00 ; 00008 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000 ; 00001 ; 00000 ; 00001 ; 00000 ; 00000 ; 00000
00001 ; 09/02/2021 ; 02:00 ; 00004 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00003 ; 00000 ; 00001 ; 00002 ; 00000 ; 00000
00001 ; 09/02/2021 ; 03:00 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000 ; 00008 ; 00001 ; 00001 ; 00000 ; 00000 ; 00000
00001 ; 09/02/2021 ; 04:00 ; 00008 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00004 ; 00001 ; 00002 ; 00000 ; 00000 ; 00000
00001 ; 09/02/2021 ; 05:00 ; 00024 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00006 ; 00002 ; 00006 ; 00002 ; 00000 ; 00000
00001 ; 09/02/2021 ; 06:00 ; 00119 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00048 ; 00006 ; 00040 ; 00002 ; 00000 ; 00000
00001 ; 09/02/2021 ; 07:00 ; 00228 ; 00020 ; 00000 ; 00000 ; 00000 ; 00000 ; 00099 ; 00014 ; 00121 ; 00006 ; 00000 ; 00000
00001 ; 09/02/2021 ; 08:00 ; 00597 ; 00031 ; 00000 ; 00000 ; 00000 ; 00000 ; 00332 ; 00024 ; 00425 ; 00019 ; 00000 ; 00000
00001 ; 09/02/2021 ; 09:00 ; 00652 ; 00061 ; 00000 ; 00000 ; 00000 ; 00000 ; 00331 ; 00028 ; 00386 ; 00024 ; 00000 ; 00000
00001 ; 09/02/2021 ; 10:00 ; 00562 ; 00053 ; 00000 ; 00000 ; 00000 ; 00000 ; 00306 ; 00035 ; 00258 ; 00020 ; 00000 ; 00000
00001 ; 09/02/2021 ; 11:00 ; 00390 ; 00052 ; 00000 ; 00000 ; 00000 ; 00000 ; 00211 ; 00039 ; 00162 ; 00019 ; 00000 ; 00000
00001 ; 09/02/2021 ; 12:00 ; 00469 ; 00051 ; 00000 ; 00000 ; 00000 ; 00000 ; 00307 ; 00027 ; 00138 ; 00020 ; 00000 ; 00000
00001 ; 09/02/2021 ; 13:00 ; 00540 ; 00054 ; 00000 ; 00000 ; 00000 ; 00000 ; 00311 ; 00023 ; 00209 ; 00018 ; 00000 ; 00000
00001 ; 09/02/2021 ; 14:00 ; 00673 ; 00046 ; 00000 ; 00000 ; 00000 ; 00000 ; 00357 ; 00024 ; 00230 ; 00014 ; 00000 ; 00000
00001 ; 09/02/2021 ; 15:00 ; 00699 ; 00037 ; 00000 ; 00000 ; 00000 ; 00000 ; 00396 ; 00024 ; 00238 ; 00012 ; 00000 ; 00000
00001 ; 09/02/2021 ; 16:00 ; 00741 ; 00042 ; 00000 ; 00000 ; 00000 ; 00000 ; 00359 ; 00021 ; 00216 ; 00013 ; 00000 ; 00000
00001 ; 09/02/2021 ; 17:00 ; 00674 ; 00043 ; 00000 ; 00000 ; 00000 ; 00000 ; 00363 ; 00023 ; 00177 ; 00014 ; 00000 ; 00000
00001 ; 09/02/2021 ; 18:00 ; 00762 ; 00037 ; 00000 ; 00000 ; 00000 ; 00000 ; 00391 ; 00023 ; 00179 ; 00017 ; 00000 ; 00000
00001 ; 09/02/2021 ; 19:00 ; 00676 ; 00032 ; 00000 ; 00000 ; 00000 ; 00000 ; 00384 ; 00014 ; 00176 ; 00009 ; 00000 ; 00000
00001 ; 09/02/2021 ; 20:00 ; 00457 ; 00031 ; 00000 ; 00000 ; 00000 ; 00000 ; 00272 ; 00014 ; 00111 ; 00008 ; 00000 ; 00000
00001 ; 09/02/2021 ; 21:00 ; 00288 ; 00017 ; 00000 ; 00000 ; 00000 ; 00000 ; 00156 ; 00009 ; 00060 ; 00007 ; 00000 ; 00000
00001 ; 09/02/2021 ; 22:00 ; 00188 ; 00011 ; 00000 ; 00000 ; 00000 ; 00000 ; 00087 ; 00006 ; 00065 ; 00004 ; 00000 ; 00000
